20 190
1 2 14
1 3 17
1 4 2
1 5 19
1 6 5
1 7 17
1 8 19
1 9 19
1 10 10
1 11 11
1 12 14
1 13 0
1 14 16
1 15 14
1 16 4
1 17 19
1 18 8
1 19 3
1 20 8
2 3 12
2 4 2
2 5 5
2 6 4
2 7 16
2 8 10
2 9 14
2 10 19
2 11 14
2 12 5
2 13 17
2 14 11
2 15 8
2 16 10
2 17 15
2 18 13
2 19 15
2 20 18
3 4 3
3 5 14
3 6 5
3 7 4
3 8 7
3 9 13
3 10 5
3 11 2
3 12 2
3 13 8
3 14 2
3 15 0
3 16 6
3 17 14
3 18 4
3 19 10
3 20 13
4 5 6
4 6 1
4 7 1
4 8 8
4 9 11
4 10 5
4 11 6
4 12 8
4 13 8
4 14 1
4 15 18
4 16 15
4 17 3
4 18 14
4 19 6
4 20 13
5 6 2
5 7 10
5 8 0
5 9 7
5 10 11
5 11 2
5 12 1
5 13 11
5 14 14
5 15 17
5 16 9
5 17 9
5 18 16
5 19 5
5 20 4
6 7 1
6 8 7
6 9 19
6 10 10
6 11 7
6 12 12
6 13 9
6 14 14
6 15 17
6 16 15
6 17 13
6 18 4
6 19 15
6 20 17
7 8 7
7 9 2
7 10 0
7 11 1
7 12 11
7 13 0
7 14 2
7 15 9
7 16 8
7 17 9
7 18 1
7 19 18
7 20 6
8 9 6
8 10 4
8 11 19
8 12 18
8 13 4
8 14 4
8 15 0
8 16 7
8 17 13
8 18 6
8 19 12
8 20 17
9 10 5
9 11 18
9 12 5
9 13 14
9 14 9
9 15 11
9 16 8
9 17 2
9 18 2
9 19 18
9 20 19
10 11 10
10 12 6
10 13 10
10 14 1
10 15 14
10 16 13
10 17 16
10 18 3
10 19 19
10 20 17
11 12 13
11 13 16
11 14 9
11 15 15
11 16 7
11 17 2
11 18 15
11 19 10
11 20 0
12 13 3
12 14 6
12 15 8
12 16 10
12 17 14
12 18 0
12 19 13
12 20 16
13 14 6
13 15 9
13 16 12
13 17 19
13 18 8
13 19 15
13 20 18
14 15 7
14 16 18
14 17 17
14 18 7
14 19 19
14 20 11
15 16 3
15 17 0
15 18 15
15 19 4
15 20 5
16 17 14
16 18 11
16 19 14
16 20 17
17 18 19
17 19 16
17 20 19
18 19 13
18 20 13
19 20 18
