20 190
1 2 15
1 3 1
1 4 19
1 5 2
1 6 9
1 7 2
1 8 5
1 9 9
1 10 7
1 11 0
1 12 14
1 13 19
1 14 7
1 15 9
1 16 7
1 17 10
1 18 1
1 19 5
1 20 0
2 3 2
2 4 6
2 5 4
2 6 1
2 7 17
2 8 1
2 9 0
2 10 13
2 11 19
2 12 10
2 13 14
2 14 11
2 15 5
2 16 11
2 17 11
2 18 10
2 19 13
2 20 19
3 4 11
3 5 7
3 6 5
3 7 10
3 8 5
3 9 0
3 10 13
3 11 18
3 12 12
3 13 15
3 14 0
3 15 0
3 16 10
3 17 0
3 18 10
3 19 17
3 20 3
4 5 8
4 6 19
4 7 2
4 8 4
4 9 5
4 10 10
4 11 5
4 12 11
4 13 5
4 14 16
4 15 8
4 16 9
4 17 10
4 18 17
4 19 14
4 20 3
5 6 3
5 7 7
5 8 7
5 9 9
5 10 7
5 11 17
5 12 1
5 13 5
5 14 8
5 15 15
5 16 1
5 17 2
5 18 11
5 19 18
5 20 18
6 7 19
6 8 0
6 9 4
6 10 1
6 11 15
6 12 16
6 13 12
6 14 12
6 15 7
6 16 10
6 17 17
6 18 16
6 19 1
6 20 8
7 8 12
7 9 5
7 10 17
7 11 11
7 12 3
7 13 15
7 14 9
7 15 4
7 16 17
7 17 11
7 18 15
7 19 1
7 20 6
8 9 6
8 10 10
8 11 9
8 12 8
8 13 18
8 14 5
8 15 3
8 16 10
8 17 5
8 18 14
8 19 3
8 20 0
9 10 19
9 11 3
9 12 12
9 13 3
9 14 2
9 15 8
9 16 2
9 17 5
9 18 0
9 19 17
9 20 4
10 11 16
10 12 18
10 13 16
10 14 10
10 15 14
10 16 15
10 17 9
10 18 7
10 19 17
10 20 2
11 12 8
11 13 1
11 14 14
11 15 19
11 16 9
11 17 10
11 18 13
11 19 7
11 20 6
12 13 13
12 14 10
12 15 10
12 16 3
12 17 14
12 18 9
12 19 13
12 20 7
13 14 12
13 15 17
13 16 9
13 17 4
13 18 18
13 19 15
13 20 14
14 15 16
14 16 6
14 17 2
14 18 19
14 19 12
14 20 19
15 16 4
15 17 18
15 18 10
15 19 10
15 20 4
16 17 0
16 18 9
16 19 18
16 20 12
17 18 7
17 19 16
17 20 11
18 19 15
18 20 15
19 20 18
