20 190
1 2 3
1 3 0
1 4 18
1 5 12
1 6 15
1 7 6
1 8 3
1 9 18
1 10 10
1 11 5
1 12 2
1 13 3
1 14 0
1 15 17
1 16 6
1 17 17
1 18 15
1 19 4
1 20 11
2 3 16
2 4 8
2 5 0
2 6 14
2 7 2
2 8 11
2 9 0
2 10 6
2 11 4
2 12 19
2 13 16
2 14 13
2 15 16
2 16 4
2 17 8
2 18 15
2 19 13
2 20 3
3 4 19
3 5 11
3 6 17
3 7 1
3 8 8
3 9 16
3 10 4
3 11 0
3 12 12
3 13 14
3 14 2
3 15 15
3 16 4
3 17 11
3 18 11
3 19 9
3 20 5
4 5 15
4 6 1
4 7 7
4 8 18
4 9 11
4 10 15
4 11 0
4 12 9
4 13 11
4 14 11
4 15 14
4 16 0
4 17 15
4 18 11
4 19 8
4 20 16
5 6 3
5 7 6
5 8 16
5 9 8
5 10 18
5 11 8
5 12 18
5 13 3
5 14 5
5 15 2
5 16 18
5 17 6
5 18 8
5 19 18
5 20 13
6 7 6
6 8 2
6 9 2
6 10 5
6 11 0
6 12 3
6 13 16
6 14 0
6 15 17
6 16 13
6 17 19
6 18 6
6 19 10
6 20 8
7 8 17
7 9 7
7 10 11
7 11 19
7 12 15
7 13 7
7 14 8
7 15 5
7 16 9
7 17 2
7 18 9
7 19 18
7 20 12
8 9 15
8 10 19
8 11 11
8 12 4
8 13 17
8 14 13
8 15 16
8 16 17
8 17 8
8 18 8
8 19 18
8 20 3
9 10 3
9 11 3
9 12 3
9 13 5
9 14 15
9 15 2
9 16 14
9 17 3
9 18 7
9 19 18
9 20 1
10 11 19
10 12 6
10 13 15
10 14 19
10 15 16
10 16 1
10 17 5
10 18 17
10 19 1
10 20 14
11 12 17
11 13 10
11 14 9
11 15 7
11 16 2
11 17 9
11 18 11
11 19 13
11 20 18
12 13 14
12 14 6
12 15 11
12 16 14
12 17 13
12 18 15
12 19 18
12 20 4
13 14 3
13 15 19
13 16 8
13 17 2
13 18 15
13 19 18
13 20 15
14 15 13
14 16 2
14 17 8
14 18 11
14 19 7
14 20 13
15 16 14
15 17 17
15 18 13
15 19 16
15 20 8
16 17 5
16 18 0
16 19 1
16 20 15
17 18 1
17 19 15
17 20 13
18 19 11
18 20 16
19 20 18
