80 3160
1 2 52
1 3 35
1 4 65
1 5 21
1 6 52
1 7 32
1 8 23
1 9 60
1 10 38
1 11 30
1 12 28
1 13 16
1 14 18
1 15 13
1 16 65
1 17 0
1 18 55
1 19 46
1 20 23
1 21 68
1 22 77
1 23 31
1 24 23
1 25 31
1 26 38
1 27 68
1 28 12
1 29 20
1 30 29
1 31 34
1 32 45
1 33 64
1 34 62
1 35 49
1 36 46
1 37 45
1 38 12
1 39 78
1 40 54
1 41 68
1 42 75
1 43 4
1 44 30
1 45 45
1 46 57
1 47 30
1 48 52
1 49 50
1 50 8
1 51 34
1 52 14
1 53 42
1 54 31
1 55 60
1 56 49
1 57 72
1 58 4
1 59 65
1 60 8
1 61 45
1 62 31
1 63 20
1 64 6
1 65 76
1 66 5
1 67 74
1 68 58
1 69 26
1 70 22
1 71 19
1 72 49
1 73 23
1 74 7
1 75 6
1 76 3
1 77 56
1 78 23
1 79 71
1 80 73
2 3 23
2 4 3
2 5 56
2 6 28
2 7 49
2 8 56
2 9 50
2 10 63
2 11 58
2 12 32
2 13 20
2 14 26
2 15 77
2 16 10
2 17 1
2 18 9
2 19 32
2 20 47
2 21 2
2 22 17
2 23 9
2 24 33
2 25 76
2 26 37
2 27 6
2 28 71
2 29 56
2 30 50
2 31 42
2 32 74
2 33 13
2 34 11
2 35 54
2 36 61
2 37 4
2 38 43
2 39 39
2 40 15
2 41 9
2 42 39
2 43 42
2 44 11
2 45 37
2 46 66
2 47 2
2 48 42
2 49 2
2 50 20
2 51 42
2 52 20
2 53 13
2 54 50
2 55 40
2 56 30
2 57 60
2 58 61
2 59 0
2 60 51
2 61 32
2 62 44
2 63 57
2 64 15
2 65 78
2 66 11
2 67 55
2 68 45
2 69 75
2 70 79
2 71 70
2 72 56
2 73 77
2 74 65
2 75 1
2 76 2
2 77 62
2 78 63
2 79 29
2 80 15
3 4 37
3 5 31
3 6 40
3 7 13
3 8 4
3 9 24
3 10 27
3 11 22
3 12 63
3 13 41
3 14 16
3 15 16
3 16 48
3 17 8
3 18 38
3 19 37
3 20 61
3 21 65
3 22 3
3 23 29
3 24 77
3 25 35
3 26 54
3 27 31
3 28 20
3 29 51
3 30 45
3 31 18
3 32 57
3 33 66
3 34 30
3 35 49
3 36 63
3 37 34
3 38 4
3 39 50
3 40 61
3 41 1
3 42 15
3 43 32
3 44 22
3 45 7
3 46 12
3 47 26
3 48 48
3 49 52
3 50 31
3 51 79
3 52 44
3 53 16
3 54 44
3 55 59
3 56 12
3 57 13
3 58 74
3 59 76
3 60 16
3 61 61
3 62 34
3 63 14
3 64 39
3 65 31
3 66 6
3 67 46
3 68 29
3 69 69
3 70 70
3 71 55
3 72 6
3 73 19
3 74 30
3 75 5
3 76 7
3 77 8
3 78 77
3 79 9
3 80 69
4 5 48
4 6 27
4 7 13
4 8 23
4 9 11
4 10 35
4 11 46
4 12 62
4 13 50
4 14 19
4 15 64
4 16 33
4 17 70
4 18 49
4 19 58
4 20 44
4 21 60
4 22 11
4 23 21
4 24 18
4 25 12
4 26 19
4 27 42
4 28 13
4 29 12
4 30 55
4 31 42
4 32 18
4 33 22
4 34 63
4 35 73
4 36 0
4 37 32
4 38 43
4 39 25
4 40 41
4 41 65
4 42 76
4 43 25
4 44 54
4 45 38
4 46 72
4 47 12
4 48 18
4 49 24
4 50 42
4 51 26
4 52 2
4 53 20
4 54 12
4 55 29
4 56 33
4 57 59
4 58 50
4 59 18
4 60 12
4 61 71
4 62 46
4 63 49
4 64 22
4 65 25
4 66 38
4 67 33
4 68 39
4 69 64
4 70 9
4 71 74
4 72 49
4 73 43
4 74 69
4 75 79
4 76 60
4 77 68
4 78 47
4 79 76
4 80 15
5 6 61
5 7 24
5 8 12
5 9 46
5 10 27
5 11 1
5 12 78
5 13 27
5 14 65
5 15 23
5 16 36
5 17 41
5 18 57
5 19 1
5 20 31
5 21 26
5 22 75
5 23 38
5 24 47
5 25 77
5 26 56
5 27 12
5 28 47
5 29 58
5 30 6
5 31 26
5 32 28
5 33 16
5 34 10
5 35 9
5 36 53
5 37 79
5 38 46
5 39 26
5 40 75
5 41 62
5 42 52
5 43 77
5 44 31
5 45 24
5 46 0
5 47 0
5 48 25
5 49 73
5 50 39
5 51 16
5 52 41
5 53 27
5 54 68
5 55 66
5 56 18
5 57 73
5 58 28
5 59 34
5 60 53
5 61 24
5 62 70
5 63 67
5 64 50
5 65 77
5 66 37
5 67 24
5 68 66
5 69 58
5 70 4
5 71 64
5 72 4
5 73 62
5 74 69
5 75 69
5 76 57
5 77 15
5 78 29
5 79 43
5 80 38
6 7 38
6 8 5
6 9 34
6 10 24
6 11 8
6 12 5
6 13 14
6 14 78
6 15 38
6 16 25
6 17 63
6 18 30
6 19 42
6 20 28
6 21 16
6 22 23
6 23 67
6 24 48
6 25 43
6 26 73
6 27 49
6 28 77
6 29 49
6 30 68
6 31 47
6 32 66
6 33 15
6 34 16
6 35 70
6 36 49
6 37 63
6 38 69
6 39 72
6 40 75
6 41 61
6 42 40
6 43 53
6 44 48
6 45 12
6 46 54
6 47 57
6 48 60
6 49 20
6 50 13
6 51 44
6 52 6
6 53 78
6 54 78
6 55 22
6 56 21
6 57 39
6 58 69
6 59 7
6 60 8
6 61 56
6 62 34
6 63 42
6 64 46
6 65 31
6 66 64
6 67 33
6 68 27
6 69 57
6 70 46
6 71 60
6 72 6
6 73 52
6 74 36
6 75 34
6 76 19
6 77 51
6 78 21
6 79 70
6 80 46
7 8 4
7 9 60
7 10 36
7 11 3
7 12 47
7 13 48
7 14 18
7 15 20
7 16 8
7 17 67
7 18 53
7 19 46
7 20 77
7 21 4
7 22 68
7 23 73
7 24 11
7 25 58
7 26 68
7 27 1
7 28 75
7 29 43
7 30 38
7 31 50
7 32 63
7 33 1
7 34 49
7 35 37
7 36 29
7 37 75
7 38 2
7 39 40
7 40 14
7 41 17
7 42 78
7 43 4
7 44 58
7 45 45
7 46 37
7 47 54
7 48 8
7 49 39
7 50 52
7 51 20
7 52 25
7 53 10
7 54 49
7 55 37
7 56 19
7 57 36
7 58 48
7 59 12
7 60 13
7 61 55
7 62 53
7 63 2
7 64 73
7 65 70
7 66 14
7 67 2
7 68 17
7 69 5
7 70 25
7 71 3
7 72 52
7 73 48
7 74 33
7 75 36
7 76 50
7 77 17
7 78 15
7 79 49
7 80 61
8 9 11
8 10 19
8 11 70
8 12 62
8 13 36
8 14 38
8 15 42
8 16 12
8 17 20
8 18 53
8 19 31
8 20 67
8 21 77
8 22 54
8 23 51
8 24 15
8 25 15
8 26 69
8 27 76
8 28 4
8 29 28
8 30 67
8 31 26
8 32 42
8 33 49
8 34 18
8 35 26
8 36 1
8 37 70
8 38 26
8 39 45
8 40 63
8 41 11
8 42 25
8 43 17
8 44 55
8 45 34
8 46 69
8 47 70
8 48 16
8 49 33
8 50 4
8 51 63
8 52 49
8 53 75
8 54 47
8 55 23
8 56 25
8 57 60
8 58 36
8 59 43
8 60 48
8 61 79
8 62 42
8 63 73
8 64 47
8 65 8
8 66 41
8 67 23
8 68 46
8 69 23
8 70 47
8 71 37
8 72 63
8 73 36
8 74 78
8 75 34
8 76 6
8 77 77
8 78 56
8 79 42
8 80 51
9 10 70
9 11 19
9 12 74
9 13 37
9 14 41
9 15 69
9 16 23
9 17 27
9 18 28
9 19 78
9 20 4
9 21 39
9 22 16
9 23 35
9 24 14
9 25 57
9 26 9
9 27 25
9 28 30
9 29 46
9 30 26
9 31 32
9 32 39
9 33 8
9 34 16
9 35 64
9 36 6
9 37 10
9 38 49
9 39 59
9 40 72
9 41 63
9 42 47
9 43 7
9 44 19
9 45 25
9 46 49
9 47 4
9 48 65
9 49 14
9 50 64
9 51 62
9 52 0
9 53 14
9 54 20
9 55 75
9 56 37
9 57 23
9 58 42
9 59 14
9 60 49
9 61 79
9 62 70
9 63 62
9 64 63
9 65 27
9 66 79
9 67 77
9 68 78
9 69 18
9 70 71
9 71 63
9 72 16
9 73 33
9 74 10
9 75 65
9 76 51
9 77 67
9 78 51
9 79 69
9 80 63
10 11 71
10 12 48
10 13 23
10 14 68
10 15 2
10 16 70
10 17 65
10 18 24
10 19 69
10 20 44
10 21 9
10 22 47
10 23 39
10 24 0
10 25 43
10 26 34
10 27 25
10 28 67
10 29 64
10 30 71
10 31 32
10 32 56
10 33 6
10 34 75
10 35 64
10 36 42
10 37 2
10 38 63
10 39 34
10 40 69
10 41 58
10 42 60
10 43 40
10 44 25
10 45 8
10 46 14
10 47 22
10 48 26
10 49 51
10 50 0
10 51 48
10 52 14
10 53 32
10 54 1
10 55 42
10 56 58
10 57 14
10 58 21
10 59 6
10 60 43
10 61 58
10 62 45
10 63 17
10 64 66
10 65 77
10 66 62
10 67 75
10 68 72
10 69 46
10 70 14
10 71 29
10 72 9
10 73 10
10 74 29
10 75 75
10 76 48
10 77 79
10 78 48
10 79 58
10 80 74
11 12 39
11 13 68
11 14 42
11 15 23
11 16 76
11 17 42
11 18 23
11 19 57
11 20 28
11 21 5
11 22 26
11 23 42
11 24 32
11 25 15
11 26 48
11 27 9
11 28 31
11 29 76
11 30 31
11 31 24
11 32 45
11 33 35
11 34 41
11 35 64
11 36 26
11 37 54
11 38 60
11 39 22
11 40 52
11 41 73
11 42 69
11 43 54
11 44 57
11 45 29
11 46 42
11 47 68
11 48 7
11 49 41
11 50 24
11 51 2
11 52 1
11 53 51
11 54 53
11 55 13
11 56 78
11 57 61
11 58 25
11 59 72
11 60 68
11 61 66
11 62 7
11 63 7
11 64 50
11 65 15
11 66 54
11 67 34
11 68 27
11 69 16
11 70 15
11 71 54
11 72 76
11 73 11
11 74 16
11 75 67
11 76 1
11 77 30
11 78 64
11 79 50
11 80 29
12 13 20
12 14 12
12 15 45
12 16 68
12 17 39
12 18 16
12 19 65
12 20 36
12 21 55
12 22 41
12 23 49
12 24 66
12 25 32
12 26 75
12 27 45
12 28 7
12 29 1
12 30 68
12 31 56
12 32 3
12 33 14
12 34 18
12 35 11
12 36 26
12 37 31
12 38 49
12 39 48
12 40 78
12 41 63
12 42 78
12 43 4
12 44 34
12 45 12
12 46 19
12 47 27
12 48 77
12 49 19
12 50 65
12 51 65
12 52 0
12 53 0
12 54 76
12 55 37
12 56 40
12 57 56
12 58 32
12 59 16
12 60 39
12 61 74
12 62 8
12 63 76
12 64 23
12 65 59
12 66 47
12 67 1
12 68 3
12 69 14
12 70 28
12 71 58
12 72 68
12 73 76
12 74 40
12 75 14
12 76 66
12 77 59
12 78 54
12 79 43
12 80 7
13 14 13
13 15 51
13 16 67
13 17 67
13 18 42
13 19 54
13 20 32
13 21 20
13 22 39
13 23 66
13 24 44
13 25 6
13 26 7
13 27 0
13 28 60
13 29 78
13 30 23
13 31 39
13 32 37
13 33 73
13 34 44
13 35 48
13 36 42
13 37 4
13 38 76
13 39 52
13 40 47
13 41 17
13 42 66
13 43 13
13 44 74
13 45 71
13 46 72
13 47 66
13 48 4
13 49 35
13 50 42
13 51 1
13 52 59
13 53 30
13 54 55
13 55 79
13 56 46
13 57 8
13 58 12
13 59 59
13 60 40
13 61 77
13 62 66
13 63 70
13 64 43
13 65 64
13 66 33
13 67 45
13 68 21
13 69 22
13 70 17
13 71 46
13 72 27
13 73 53
13 74 31
13 75 50
13 76 36
13 77 43
13 78 47
13 79 60
13 80 7
14 15 48
14 16 36
14 17 38
14 18 8
14 19 43
14 20 57
14 21 28
14 22 57
14 23 5
14 24 47
14 25 27
14 26 65
14 27 11
14 28 60
14 29 51
14 30 30
14 31 7
14 32 59
14 33 1
14 34 79
14 35 77
14 36 70
14 37 25
14 38 25
14 39 38
14 40 18
14 41 62
14 42 11
14 43 77
14 44 10
14 45 62
14 46 21
14 47 26
14 48 47
14 49 2
14 50 15
14 51 7
14 52 57
14 53 54
14 54 74
14 55 51
14 56 76
14 57 66
14 58 5
14 59 13
14 60 13
14 61 44
14 62 42
14 63 55
14 64 58
14 65 50
14 66 53
14 67 25
14 68 65
14 69 65
14 70 0
14 71 36
14 72 3
14 73 66
14 74 7
14 75 10
14 76 59
14 77 42
14 78 41
14 79 70
14 80 41
15 16 38
15 17 60
15 18 49
15 19 51
15 20 35
15 21 43
15 22 5
15 23 55
15 24 4
15 25 36
15 26 44
15 27 8
15 28 54
15 29 41
15 30 13
15 31 41
15 32 55
15 33 6
15 34 8
